q1_anchor_deg,q2_anchor_deg,q1_dot,q2_dot,recovered,settling_time,total_control_effort,peak_angle_error,peak_cart_displacement
2.0,2.0,1.25,0.0,False,nan,8813.226588997926,22.17255761530152,2.04818720183639
2.0,2.0,1.25,0.25,False,nan,8815.77456052198,59.09972350871408,2.036598497186998
2.0,2.0,1.25,0.5,False,nan,8772.448638666207,77.95037687545657,2.0425244078719538
2.0,2.0,1.25,0.75,False,nan,8803.690981811533,65.5113677684429,2.0533914568487055
2.0,2.0,1.25,1.0,False,nan,8804.693219719476,30.852339013645143,2.0294723347827373
2.0,2.0,1.25,1.25,False,nan,8831.46296203541,33.22245487300889,2.035454650955551
2.0,2.0,1.25,1.5,False,nan,8789.044930976772,127.63053490509772,2.0319396659682583
2.0,2.0,1.25,1.75,False,nan,8830.505973752823,53.089601864056206,2.047332114675856
2.0,2.0,1.25,2.0,False,nan,8716.69262457258,100.31828673180685,2.0480161852119965
2.0,2.0,1.5,-2.0,True,2.725,60.205951902844156,0.11715642502809401,0.9371116674747669
2.0,2.0,1.5,-1.75,True,2.935,68.5947429722224,0.14299373116742603,1.1830751373220323
2.0,2.0,1.5,-1.5,True,3.16,95.18911627636746,0.18407961755840416,1.4182493988820237
2.0,2.0,1.5,-1.25,True,3.295,142.65188624188775,0.2358947507653465,1.6319202470057372
2.0,2.0,1.5,-1.0,True,3.375,216.90469062082732,0.29048948018314696,1.8120376687543238
2.0,2.0,1.5,-0.75,True,6.7700000000000005,4915.064808691188,7983.934311682715,147.42588294000288
2.0,2.0,1.5,-0.5,False,nan,8680.918790148307,36.95029349730313,2.057314959862011
2.0,2.0,1.5,-0.25,False,nan,8813.714666909655,120.72188255101025,2.048251967993965
2.0,2.0,1.5,0.0,False,nan,8746.505551451763,58.829432384403425,2.0557741483618637
2.0,2.0,1.5,0.25,False,nan,8807.922649271572,90.60108866337032,2.0346725782415387
2.0,2.0,1.5,0.5,False,nan,8880.311920736205,127.89971233292312,2.035823010753392
2.0,2.0,1.5,0.75,False,nan,8646.354475412443,49.98711082502042,2.0521199696814745
2.0,2.0,1.5,1.0,False,nan,8753.191491502124,122.39805243039847,2.023816466275726
2.0,2.0,1.5,1.25,False,nan,8830.39664812653,59.473808250000225,2.0386333492370556
2.0,2.0,1.5,1.5,False,nan,8809.712830746113,67.10371968903165,2.036434412467238
2.0,2.0,1.5,1.75,False,nan,8830.178034356586,74.96401484971503,2.0333381763201053
2.0,2.0,1.5,2.0,False,nan,8751.49429384395,52.51768332315832,2.0432863845243827
2.0,2.0,1.75,-2.0,True,3.0700000000000003,91.31524917908911,0.16375965906209056,1.348661124578293
2.0,2.0,1.75,-1.75,True,3.245,120.85938111862376,0.20017802057329623,1.5769849959125202
2.0,2.0,1.75,-1.5,True,3.355,172.77304857630816,0.2515550195903298,1.7811120612523386
2.0,2.0,1.75,-1.25,True,3.41,256.9148965988875,0.3062332988040557,1.9388530621555293
2.0,2.0,1.75,-1.0,False,nan,8743.557110065238,40.11660077740141,2.051891044070855
2.0,2.0,1.75,-0.75,False,nan,8774.67293075473,51.900092721172726,2.045312118694124
2.0,2.0,1.75,-0.5,False,nan,8782.465899964365,92.02306073746342,2.034257620174865
2.0,2.0,1.75,-0.25,False,nan,8800.961819595635,46.439526591605194,2.061988541476567
2.0,2.0,1.75,0.0,False,nan,8775.378497403077,103.46819102958355,2.049441530331977
